n=100
NSU;tipoFigura;descricao;x;y;valor1;valor2;valor3
1;3;p30;-2.12;7.26;3.02;2.18;2.26
2;1;p57;-8.07;9.46;0.68;;
3;2;p50;4.08;1.97;2.72;3.96;
4;3;p37;6.66;5.6;2.81;2.48;4.61
5;2;p59;2.73;3.43;1.82;1.13;
6;2;p49;9.73;-7.37;3.45;1.33;
7;3;p77;-4.57;1.42;4.09;2.04;2.56
8;1;p1;-2.54;-7.37;0.81;;
9;1;p83;8.0;6.59;0.18;;
10;1;p24;4.44;-4.88;2.3;;
11;3;p84;-0.29;3.97;1.03;4.29;1.61
12;2;p11;-8.3;9.29;2.12;4.9;
13;3;p16;8.74;-8.49;4.42;3.85;4.12
14;3;p91;4.15;-3.74;2.29;1.38;4.23
15;2;p47;0.87;-9.14;1.7;1.45;
16;1;p9;-8.24;-0.7;4.16;;
17;1;p69;5.76;-7.03;4.07;;
18;1;p56;-6.81;0.68;3.57;;
19;1;p92;5.79;3.49;3.46;;
20;3;p66;-9.74;-0.15;3.13;2.86;4.37
21;1;p54;4.32;7.92;1.01;;
22;2;p43;6.84;9.12;4.25;1.43;
23;2;p8;-5.51;-4.44;4.11;3.51;
24;2;p39;-8.88;3.19;1.62;4.15;
25;2;p42;-9.97;-5.15;2.39;3.28;
26;1;p45;9.66;-1.31;2.05;;
27;2;p90;2.26;7.73;2.43;2.92;
28;2;p3;-0.57;2.03;1.68;3.66;
29;3;p67;-4.26;2.24;2.14;1.04;3.59
30;3;p75;-8.05;5.32;1.64;3.12;2.69
31;3;p5;-5.57;2.46;4.03;4.77;4.3
32;2;p55;5.77;6.07;3.79;2.38;
33;2;p61;4.82;9.9;4.86;2.29;
34;3;p12;4.22;0.59;3.91;4.67;1.1
35;2;p95;-6.92;6.29;2.79;3.36;
36;2;p65;-2.94;5.33;1.0;4.31;
37;3;p100;4.7;-0.56;4.21;3.33;3.31
38;1;p88;9.24;-0.92;0.0;;
39;2;p86;8.68;4.11;3.42;1.36;
40;1;p93;-5.0;3.52;4.5;;
41;1;p72;-1.19;8.05;2.3;;
42;2;p36;2.1;6.75;1.74;3.08;
43;3;p87;-5.35;5.2;4.52;1.14;2.69
44;3;p14;7.65;1.56;3.84;3.53;2.32
45;3;p33;3.4;-2.23;2.26;3.25;4.13
46;1;p19;-2.07;6.89;0.55;;
47;2;p48;9.53;-7.49;4.85;2.78;
48;2;p38;-3.95;-8.47;1.59;4.55;
49;3;p44;2.98;-5.42;2.27;1.69;4.05
50;1;p15;1.1;-6.07;2.9;;
51;3;p35;7.12;-9.95;2.82;3.44;4.31
52;3;p79;6.8;8.45;3.14;1.57;4.32
53;2;p51;2.54;1.13;4.35;1.82;
54;2;p23;-6.51;-7.06;4.9;3.21;
55;3;p85;-3.64;-6.44;3.97;1.7;4.03
56;3;p76;1.71;9.87;2.13;4.4;2.23
57;1;p89;-1.77;-7.33;2.6;;
58;3;p68;-6.57;0.92;4.78;3.07;1.61
59;3;p2;5.96;-2.74;4.16;1.15;4.47
60;2;p28;-7.57;-1.04;2.01;1.83;
61;2;p97;6.65;1.73;3.86;1.29;
62;3;p21;9.56;-3.97;2.27;3.92;1.53
63;1;p99;-5.89;-5.28;3.37;;
64;3;p46;0.27;0.8;1.68;4.29;1.74
65;2;p62;-6.97;-2.27;2.73;4.36;
66;3;p29;5.34;-6.14;4.11;3.39;3.43
67;3;p0;-8.61;-6.12;2.32;3.4;3.45
68;2;p71;-8.74;-7.46;4.41;1.5;
69;2;p58;-6.49;-0.24;3.89;4.11;
70;1;p17;-5.59;8.25;1.64;;
71;2;p32;-3.59;6.27;1.69;1.6;
72;2;p41;1.69;-5.88;3.19;4.95;
73;3;p63;3.21;-9.04;1.73;2.04;2.48
74;3;p74;-2.93;-3.29;1.09;3.03;4.5
75;2;p25;-6.99;-3.66;3.14;3.31;
76;2;p82;3.26;-6.92;4.46;1.94;
77;2;p78;4.27;-7.66;2.73;2.69;
78;3;p7;8.37;-9.19;1.79;4.01;4.92
79;3;p60;5.43;9.07;2.25;4.76;1.16
80;2;p34;4.72;-2.74;2.99;2.39;
81;3;p52;-2.65;-8.84;1.32;4.73;4.81
82;2;p53;-6.01;-4.15;3.1;2.54;
83;2;p40;-7.0;-6.49;1.07;3.12;
84;3;p10;-2.32;1.68;3.42;3.8;1.5
85;1;p94;-2.02;1.72;3.89;;
86;2;p22;9.48;-8.12;3.74;1.61;
87;3;p81;1.27;-4.6;4.96;4.43;2.54
88;2;p26;-6.98;-1.31;3.28;3.8;
89;2;p31;4.53;0.19;1.5;2.47;
90;1;p27;-7.17;8.57;2.42;;
91;1;p13;9.74;1.37;0.65;;
92;1;p64;-2.56;-8.44;0.58;;
93;3;p96;4.0;-3.99;2.54;2.49;1.26
94;3;p73;-5.22;-8.85;2.15;1.2;2.27
95;1;p98;-3.68;-7.53;3.8;;
96;2;p18;5.77;6.76;4.13;3.75;
97;3;p20;2.03;-1.85;3.63;3.47;2.96
98;3;p80;-2.11;-4.48;2.14;3.47;3.53
99;3;p6;8.49;-5.45;2.04;4.57;3.72
100;1;p4;0.42;3.55;3.85;;
